Category,Description,Value 1,Value 2,Value 3,,,,,,,,,,,,,,,,,,,,,
Site ,Location,A,B,C,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimer,"Priveledged and confidential.  Not to be used, distributed or modified without express written consent of Astarte Medical.  If you believe you have accessed this file in error, please contact us: info@astartemedical.com",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"If data is not imported in text field it is recorded as ""Not Imported"" in numerical fields ""999999"" is used",,,,,,,,,,,,,,,,,,,,,,,,,
Additionally these cells have been colored gray,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"In general, true false columns use 0 for false and 1 for true",,,,,,,,,,,,,,,,,,,,,,,,,
At Birth Data,,,,,,,,,,,,,,,,,,,,,,,,,
,Mode of Birth,Gender,Multiple,Number of Additional Births,Rom Prior to Delivery,Antenatal Steriods,Did infant receive PRBC transfusions?,Infant Antimicrobials,Presence of NAS,,,,,,,,,,,,,,,,
,0 = Vaginal,0 = Female,0 = False,0 = None,0 = False,0 = False,0 = False,0 = False,0 = False,,,,,,,,,,,,,,,,
,1 = Cesarean,1 = Male,1 = True,1 = twins,1 = True,1 = True,1 = True,1 = True,1 = True,,,,,,,,,,,,,,,,
,,,,2 = triplets,,,,,,,,,,,,,,,,,,,,,
,,,,3 = quads,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory Support,,,,,,,,,,,,,,,,,,,,,,,,,
,Positive Pressure Ventilation,Airway Management,,,,,,,,,,,,,,,,,,,,,,,
,0 = False,0 = False,,,,,,,,,,,,,,,,,,,,,,,
,1 = True,1 = True,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Lab Data Raw,,,,,,,,,,,,,,,,,,,,,,,,,
,Source of NICU Blood Gas within 4hr,Lowest pH Source,Highest pco2 Source,Low paO2 Source,High paO2 Source,,,,,,,,,,,,,,,,,,,,
,0 = Venous,0 = Venous,0 = Venous,0 = Venous,0 = Venous,,,,,,,,,,,,,,,,,,,,
,1 = Arterial,1 = Arterial,1 = Arterial,1 = Arterial,1 = Arterial,,,,,,,,,,,,,,,,,,,,
,2 = Capillary,2 = Capillary,2 = Capillary,2 = Capillary,2 = Capillary,,,,,,,,,,,,,,,,,,,,
,3 = ??,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Comorbidities Raw,,,,,,,,,,,,,,,,,,,,,,,,,
,Sepsis,PDA,NEC,BPD,IVH,IVH Grade,ROP,ROP Severity,,,,,,,,,,,,,,,,,
