# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
0.01428,0.09998,0.69985,0.00048,0.00048,0.00048,0.00013,0.69985,0.09998,0.01504,0.00095,0.00000,0.00095
0.02162,0.15133,0.69039,0.00070,0.00070,0.00070,-0.00116,0.69039,0.15133,0.02078,0.00209,0.00070,0.00139
0.02157,0.15102,0.69040,0.00000,0.00000,0.00086,0.00039,0.69040,0.15102,0.02382,0.00518,0.00086,0.00431
0.01718,0.12029,0.69656,0.00061,0.00000,0.00061,0.00016,0.69656,0.12029,0.01952,0.00184,0.00061,0.00123
0.01606,0.11240,0.69790,0.00000,0.00000,0.00062,0.00115,0.69790,0.11240,0.01803,0.00371,0.00062,0.00309
0.01558,0.10908,0.69844,0.00000,0.00000,0.00056,0.00045,0.69844,0.10908,0.01736,0.00278,0.00000,0.00278
0.02766,0.19361,0.67934,0.00000,0.00000,0.00000,-0.00045,0.67934,0.19361,0.03329,0.01019,0.00340,0.00679
0.02619,0.18334,0.68221,0.00000,0.00000,0.00107,-0.00055,0.68221,0.18334,0.03347,0.00959,0.00320,0.00640
0.02418,0.16928,0.68589,0.00000,0.00000,0.00000,0.00019,0.68589,0.16928,0.03152,0.01167,0.00292,0.00876
0.02442,0.17091,0.68556,0.00097,0.00097,0.00000,-0.00008,0.68556,0.17091,0.02955,0.00869,0.00290,0.00579
0.02001,0.14006,0.69264,0.00000,0.00000,0.00077,0.00023,0.69264,0.14006,0.02342,0.01378,0.00230,0.01148
0.02474,0.17315,0.68479,0.00000,0.00098,0.00000,-0.00016,0.68479,0.17315,0.03170,0.01761,0.00293,0.01467
0.02732,0.19125,0.67976,0.00000,0.00115,0.00115,-0.00043,0.67976,0.19125,0.03479,0.02074,0.00346,0.01728
0.02474,0.17319,0.68493,0.00098,0.00098,0.00098,-0.00048,0.68493,0.17319,0.03170,0.00881,0.00294,0.00587
0.03034,0.21235,0.67332,0.00000,0.00000,0.00000,-0.00068,0.67332,0.21235,0.03936,0.01942,0.00388,0.01554
0.02690,0.18830,0.68085,0.00106,0.00106,0.00106,-0.00098,0.68085,0.18830,0.03340,0.00957,0.00319,0.00638
0.02216,0.15514,0.68950,0.00082,0.00082,0.00000,-0.00025,0.68950,0.15514,0.02134,0.00739,0.00246,0.00493
0.02730,0.19110,0.68000,0.00000,0.00000,0.00117,-0.00017,0.68000,0.19110,0.03541,0.01055,0.00352,0.00703
0.02112,0.14787,0.69112,0.00000,0.00080,0.00000,0.00019,0.69112,0.14787,0.02138,0.00723,0.00241,0.00482
0.02405,0.16836,0.68623,0.00000,0.00091,0.00000,-0.00039,0.68623,0.16836,0.02818,0.00823,0.00274,0.00549
0.02091,0.14637,0.69142,0.00000,0.00081,0.00081,0.00015,0.69142,0.14637,0.02248,0.00728,0.00243,0.00485
0.02068,0.14474,0.69173,0.00000,0.00080,0.00080,0.00020,0.69173,0.14474,0.02127,0.01200,0.00240,0.00960
0.01569,0.10982,0.69832,0.00000,0.00000,0.00056,0.00048,0.69832,0.10982,0.01689,0.00507,0.00169,0.00338
0.02515,0.17607,0.68422,0.00091,0.00000,0.00091,-0.00113,0.68422,0.17607,0.02427,0.01642,0.00274,0.01368
0.02871,0.20098,0.67700,0.00106,0.00106,0.00000,-0.00143,0.67700,0.20098,0.03322,0.01904,0.00317,0.01587
0.02202,0.15417,0.68973,0.00081,0.00081,0.00081,-0.00049,0.68973,0.15417,0.02110,0.00730,0.00243,0.00487
0.01971,0.13797,0.69322,0.00067,0.00000,0.00000,-0.00042,0.69322,0.13797,0.01902,0.00603,0.00000,0.00603
