# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
30.00000,210.00000,1470.00000,1.00000,1.00000,1.00000,0.28172,1470.00000,210.00000,nan,2.00000,0.00000,2.00000
31.00000,217.00000,990.00000,1.00000,1.00000,1.00000,-1.65704,990.00000,217.00000,nan,3.00000,1.00000,2.00000
25.00000,175.00000,800.00000,0.00000,0.00000,1.00000,0.44729,800.00000,175.00000,nan,6.00000,1.00000,5.00000
28.00000,196.00000,1135.00000,1.00000,0.00000,1.00000,0.25349,1135.00000,196.00000,nan,3.00000,1.00000,2.00000
26.00000,182.00000,1130.00000,0.00000,0.00000,1.00000,1.85979,1130.00000,182.00000,nan,6.00000,1.00000,5.00000
28.00000,196.00000,1255.00000,0.00000,0.00000,1.00000,0.80969,1255.00000,196.00000,nan,5.00000,0.00000,5.00000
24.42857,171.00000,600.00000,0.00000,0.00000,0.00000,-0.39339,600.00000,171.00000,nan,9.00000,3.00000,6.00000
24.57143,172.00000,640.00000,0.00000,0.00000,1.00000,-0.51272,640.00000,172.00000,nan,9.00000,3.00000,6.00000
24.85714,174.00000,705.00000,0.00000,0.00000,0.00000,0.19862,705.00000,174.00000,nan,12.00000,3.00000,9.00000
25.28571,177.00000,710.00000,1.00000,1.00000,0.00000,-0.08376,710.00000,177.00000,nan,9.00000,3.00000,6.00000
26.14286,183.00000,905.00000,0.00000,0.00000,1.00000,0.29810,905.00000,183.00000,nan,18.00000,3.00000,15.00000
25.28571,177.00000,700.00000,0.00000,1.00000,0.00000,-0.15845,700.00000,177.00000,nan,18.00000,3.00000,15.00000
23.71429,166.00000,590.00000,0.00000,1.00000,1.00000,-0.37572,590.00000,166.00000,nan,18.00000,3.00000,15.00000
25.28571,177.00000,700.00000,1.00000,1.00000,1.00000,-0.49198,700.00000,177.00000,nan,9.00000,3.00000,6.00000
23.42857,164.00000,520.00000,0.00000,0.00000,0.00000,-0.52565,520.00000,164.00000,nan,15.00000,3.00000,12.00000
25.28571,177.00000,640.00000,1.00000,1.00000,1.00000,-0.91676,640.00000,177.00000,nan,9.00000,3.00000,6.00000
27.00000,189.00000,840.00000,1.00000,1.00000,0.00000,-0.30333,840.00000,189.00000,nan,9.00000,3.00000,6.00000
